,Total_sqr_footage,GarageFinish,OverallCond,AllPorchSF,Condition1,OverallQual_3,AllSF,Neighborhood,SimplOverallCond,TotalSF,OverallQual_sq,AllFlrsSF_3,BsmtExposure,GarageYrBlt,MSZoning,CentralAir,YearBuilt,OverallQual,BsmtFinSF1,AllSF_3,OverallGrade,LotArea_log,LotArea,SaleCondition,AllSF_2,Functional,TotalSF_log,YrBltAndRemod,SimplOverallQual_sq,GarageScore_3,SimplFireplaceQu,GarageCars_log,KitchenScore,AllFlrsSF_sq,1stFlrSF_log,HalfBath,Foundation,KitchenQual_sq,FireplaceQu,KitchenQual_3,GarageQual,GrLivArea,GarageScore,TotRmsAbvGrd_log,TotalBsmtSF,YearRemodAdd_log,FullBath,SimplOverallQual,ExterGrade,TotalBath_sq,HalfBath_log,2ndFlrSF_log,SimplExterGrade,GrLivArea_sq,OpenPorchSF_log,AllFlrsSF_2,SimplGarageScore,YearRemodAdd,SimplBsmtFinType1,SaleType,BldgType,TotRmsAbvGrd,SimplOverallGrade,SimplKitchenScore,PavedDrive,2ndFlrSF,GarageCars_sq,LotFrontage,LotFrontage_log,SimplExterQual,GarageCars,GarageArea,SimplGarageCond,Fireplaces,HeatingQC,GarageCond,SimplOverallQual_2,GrLivArea_2,BsmtUnfSF,ExterQual,OverallQual_2,OpenPorchSF,LotShape,GarageScore_2,GrLivArea_3,FireplaceScore,BsmtFullBath,BsmtFinType1,SimplGarageQual,GarageScore_sq,SimplFireplaceScore,KitchenQual_2,BsmtUnfSF_log,BedroomAbvGr,TotalBath_3,hasfireplace,MoSold,ExterQual_3,SimplHeatingQC,SimplBsmtQual,AllSF_sq,BsmtQual,YrSold,BsmtFinSF1_log,TotalBath_2,ScreenPorch_log,hasgarage,MasVnrArea,GarageArea_log,WoodDeckSF_log,GarageType,TotalBsmtSF_log,ExterQual_sq,TotalBath,KitchenQual,GarageCars_3,SimplFunctional,AllFlrsSF,1stFlrSF,ScreenPorch,GrLivArea_log,GarageGrade,Fireplaces_log,BsmtFullBath_log,ExterQual_2,SimplOverallQual_3,GarageCars_2,SimplKitchenQual,y
394,1034,Unf,6,39,Norm,125,1769,OldTown,2,1769,2.23606797749979,1105507304,0.0,1940.0,RL,Y,1940,5,0,5535839609,30,9.2237500588861,10134,Normal,3129361,8,7.478734825567875,3890,1.4142135623730951,373248000.0,,0.6931471805599453,3,32.155870381627054,6.601230118728877,0,CBlock,1.7320508075688772,,27,3.0,1034,720.0,1.791759469228055,735,7.576097340623111,1,2,9,1.0,0.0,5.703782474656201,1,32.155870381627054,3.6888794541139363,1069156,240.0,1950,1.0,WD,1Fam,5,4,1,2,299,1.0,60.0,4.110873864173311,1,1,240,1.0,0,4,3.0,4,1069156,735,3,25,39,4,518400.0,1105507304,,0,1.0,1.0,26.832815729997478,,9,6.601230118728877,2,1.0,0,7,27,2,1.0,42.05948168962618,3.0,2007,0.0,1.0,0.0,1,0.0,5.484796933490655,0.0,Detchd,6.601230118728877,1.7320508075688772,1.0,3,1,4,1034,735,0,6.942156705699469,9.0,0.0,0.0,9,8,1,1,11.599112335481124
395,1883,Unf,6,44,Norm,125,2288,Edwards,2,2288,2.23606797749979,1497193984,2.0,1956.0,RL,Y,1956,5,739,11977551872,30,9.166597449028265,9571,Normal,5234944,8,7.735870319952567,3912,1.4142135623730951,5716135872.0,,0.6931471805599453,3,33.823069050575526,7.0431599159883405,0,CBlock,1.7320508075688772,,27,3.0,1144,1788.0,1.9459101490553132,1144,7.579167967396076,1,2,9,1.4142135623730951,0.0,0.0,1,33.823069050575526,0.0,1308736,596.0,1956,2.0,WD,1Fam,6,4,1,2,0,1.0,68.0,4.23410650459726,1,1,596,1.0,0,3,3.0,4,1308736,405,3,25,0,4,3196944.0,1497193984,,1,4.0,1.0,42.28474902373195,,9,6.0063531596017325,3,8.0,0,6,27,1,1.0,47.83304297240559,3.0,2010,6.606650186198215,4.0,0.0,1,0.0,6.391917113392602,3.8066624897703196,Attchd,7.0431599159883405,1.7320508075688772,2.0,3,1,4,1144,1144,0,7.0431599159883405,9.0,0.0,0.6931471805599453,9,8,1,1,11.767575435251748
396,1671,RFn,5,215,Norm,125,1788,CollgCr,2,1788,2.23606797749979,714516984,2.0,1985.0,RL,Y,1972,5,777,5716135872,25,8.881975184248867,7200,Normal,3196944,8,7.489412083508719,3944,1.4142135623730951,5832000000.0,,1.0986122886681098,3,29.899832775452108,6.796823718274855,0,CBlock,1.7320508075688772,,27,3.0,894,1800.0,1.9459101490553132,894,7.587310506022615,1,2,9,1.0,0.0,0.0,1,29.899832775452108,0.0,799236,600.0,1972,1.0,WD,1Fam,6,4,1,2,0,1.4142135623730951,60.0,4.110873864173311,1,2,600,1.0,0,3,3.0,4,799236,117,3,25,0,4,3240000.0,714516984,,0,3.0,1.0,42.42640687119285,,9,4.770684624465665,2,1.0,0,9,27,1,1.0,42.28474902373195,3.0,2009,6.656726524178391,1.0,0.0,1,0.0,6.398594934535208,5.375278407684165,Detchd,6.796823718274855,1.7320508075688772,1.0,3,8,4,894,894,0,6.796823718274855,9.0,0.0,0.0,9,8,4,1,11.719947764402807
397,2352,RFn,5,168,PosN,125,2676,NAmes,2,2676,2.23606797749979,5949419328,0.0,1962.0,RL,Y,1962,5,540,19162771776,25,8.934718614016768,7590,Normal,7160976,8,7.892452043520352,3924,1.4142135623730951,496793088.0,1.0,0.6931471805599453,3,42.567593307585526,6.776506992372183,0,CBlock,1.7320508075688772,3.0,27,3.0,1812,792.0,2.1972245773362196,864,7.5822291942764615,2,2,9,1.4142135623730951,0.0,6.842683282238422,1,42.567593307585526,5.1298987149230735,3283344,264.0,1962,2.0,WD,1Fam,8,4,1,2,936,1.0,69.0,4.248495242049359,1,1,264,1.0,1,3,3.0,4,3283344,324,3,25,168,4,627264.0,5949419328,3.0,0,5.0,1.0,28.142494558940577,1.0,9,5.783825182329737,4,8.0,1,7,27,1,1.0,51.73006862551025,3.0,2007,6.293419278846481,4.0,0.0,1,288.0,5.579729825986222,0.0,Attchd,6.762729506931879,1.7320508075688772,2.0,3,1,4,1812,876,0,7.502738210754851,9.0,0.6931471805599453,0.0,9,8,1,1,12.040614105490253
398,1077,Unf,2,0,Norm,125,2038,IDOTRR,1,2038,2.23606797749979,1249243533,0.0,1920.0,RM,Y,1920,5,0,8464718872,10,9.101417964751995,8967,Abnorml,4153444,3,7.620214770574455,3870,1.4142135623730951,38614472.0,,0.6931471805599453,3,32.817678162843876,6.982862751468942,0,BrkTil,1.7320508075688772,,27,1.0,1077,338.0,1.9459101490553132,961,7.576097340623111,1,2,6,1.0,0.0,0.0,1,32.817678162843876,0.0,1159929,338.0,1950,1.0,WD,1Fam,6,2,1,0,0,1.0,60.0,4.110873864173311,1,1,338,1.0,0,4,1.0,4,1159929,961,3,25,0,4,114244.0,1249243533,,0,1.0,1.0,18.384776310850235,,9,6.8690144506657065,2,1.0,0,11,27,2,1.0,45.14421336118285,2.0,2007,0.0,1.0,0.0,1,0.0,5.82600010738045,0.0,Detchd,6.8690144506657065,1.7320508075688772,1.0,3,1,2,1077,1077,0,6.982862751468942,1.0,0.0,0.0,9,8,1,1,11.112462823634855
399,2362,Fin,5,168,Norm,343,2642,Somerst,2,2642,2.6457513110645907,3723875000,0.0,2007.0,FV,Y,2006,7,812,18441593288,35,9.002824076547672,8125,Normal,6980164,8,7.879669914604289,4013,1.7320508075688772,2268747144.0,,1.0986122886681098,4,39.370039370059054,7.014814351275545,0,PConc,2.0,,64,3.0,1550,1314.0,2.0794415416798357,1092,7.60489448081162,2,3,12,1.7320508075688772,0.0,6.0844994130751715,2,39.370039370059054,5.1298987149230735,2402500,438.0,2007,2.0,WD,1Fam,7,6,2,2,438,1.4142135623730951,65.0,4.189654742026425,2,2,438,1.0,0,5,3.0,9,2402500,280,4,49,168,4,1726596.0,3723875000,,1,6.0,1.0,36.24913792078372,,16,5.638354669333745,2,27.0,0,10,64,2,2.0,51.40038910358559,4.0,2009,6.70073110954781,9.0,0.0,1,100.0,6.0844994130751715,0.0,Attchd,6.996681488176539,2.0,3.0,4,8,4,1550,1112,0,7.346655163176539,9.0,0.0,0.6931471805599453,16,27,4,2,12.392556361841777
400,2074,Fin,5,374,Norm,512,2548,Veenker,2,2548,2.8284271247461903,2136719872,0.0,1996.0,RL,Y,1996,8,786,16542390592,40,9.613402595468036,14963,Normal,6492304,8,7.8434564043761155,3992,1.7320508075688772,3375000000.0,2.0,1.0986122886681098,5,35.888716889852724,7.161622002939187,1,PConc,2.23606797749979,4.0,125,3.0,1288,1500.0,1.6094379124341003,1260,7.599401333415815,1,3,12,1.5811388300841898,0.6931471805599453,0.0,2,35.888716889852724,3.4339872044851463,1658944,500.0,1996,2.0,WD,TwnhsE,4,6,2,2,0,1.4142135623730951,38.0,3.6635616461296463,2,2,500,1.0,2,5,3.0,9,1658944,474,4,64,30,2,2250000.0,2136719872,8.0,1,6.0,1.0,38.72983346207417,4.0,25,6.163314804034641,1,15.625,1,12,64,2,2.0,50.47771785649585,4.0,2008,6.668228248417403,6.25,5.41610040220442,1,0.0,6.2166061010848646,4.795790545596741,Attchd,7.13966033596492,2.0,2.5,5,8,4,1288,1288,224,7.161622002939187,9.0,1.0986122886681098,0.6931471805599453,16,27,4,2,12.411056299528171
401,1334,Fin,5,0,Norm,343,2620,CollgCr,2,2620,2.6457513110645907,2248091000,2.0,2005.0,RL,Y,2005,7,24,17984728000,35,9.078864009187797,8767,Partial,6864400,8,7.8713112033234065,4010,1.7320508075688772,1728000000.0,2.0,1.0986122886681098,4,36.193922141707716,7.1785454837637,0,PConc,2.0,4.0,64,3.0,1310,1200.0,1.9459101490553132,1310,7.603897968521881,2,3,12,1.4142135623730951,0.0,0.0,2,36.193922141707716,0.0,1716100,400.0,2005,2.0,New,1Fam,6,6,2,2,0,1.4142135623730951,65.0,4.189654742026425,2,2,400,1.0,1,5,3.0,9,1716100,1286,4,49,0,3,1440000.0,2248091000,4.0,0,6.0,1.0,34.64101615137755,2.0,16,7.160069207596127,3,8.0,1,7,64,2,2.0,51.18593556827891,4.0,2006,3.2188758248682006,4.0,0.0,1,0.0,5.993961427306569,0.0,Attchd,7.1785454837637,2.0,2.0,4,8,4,1310,1310,0,7.1785454837637,9.0,0.6931471805599453,0.0,16,27,4,2,12.013646205940514
402,672,Unf,8,168,Norm,125,1344,Sawyer,3,1344,2.23606797749979,303464448,0.0,1940.0,RL,Y,1940,5,0,2427715584,40,9.23024103368252,10200,Normal,1806336,8,7.20414929203594,3937,1.4142135623730951,373248000.0,,0.6931471805599453,3,25.92296279363144,6.511745329644728,0,PConc,1.7320508075688772,,27,3.0,672,720.0,1.6094379124341003,672,7.599901959208498,1,2,9,1.0,0.0,0.0,1,25.92296279363144,0.0,451584,240.0,1997,1.0,WD,1Fam,4,6,1,0,0,1.0,60.0,4.110873864173311,1,1,240,1.0,0,5,3.0,4,451584,672,3,25,0,4,518400.0,303464448,,0,1.0,1.0,26.832815729997478,,9,6.511745329644728,2,1.0,0,8,27,2,1.0,36.66060555964672,3.0,2008,0.0,1.0,0.0,1,0.0,5.484796933490655,5.1298987149230735,Detchd,6.511745329644728,1.7320508075688772,1.0,3,1,4,672,672,0,6.511745329644728,9.0,0.0,0.0,9,8,1,1,11.58989576532275
403,2263,Fin,5,267,Norm,512,3404,NoRidge,2,3404,2.8284271247461903,11589205447,0.0,1998.0,RL,Y,1998,8,0,39442883264,40,9.400216653174247,12090,Abnorml,11587216,8,8.133000218583613,3996,1.7320508075688772,2000376000.0,1.0,1.0986122886681098,4,47.57099956906519,7.061334366910438,1,PConc,2.0,3.0,64,3.0,2263,1260.0,2.3978952727983707,1141,7.6004023345004,2,3,12,1.5811388300841898,0.6931471805599453,7.002155954403621,2,47.57099956906519,4.820281565605037,5121169,420.0,1998,1.0,WD,1Fam,10,6,2,2,1098,1.4142135623730951,93.0,4.543294782270004,2,2,420,1.0,1,4,3.0,9,5121169,1141,4,64,123,4,1587600.0,11589205447,3.0,0,1.0,1.0,35.4964786985977,1.0,16,7.040536390215956,4,15.625,1,7,64,2,2.0,58.34380858325929,4.0,2006,0.0,6.25,0.0,1,650.0,6.042632833682381,4.976733742420574,BuiltIn,7.040536390215956,2.0,2.5,4,8,4,2263,1165,0,7.724888439323074,9.0,0.6931471805599453,0.0,16,27,4,2,12.460718739865236
404,1572,Fin,5,40,Norm,216,2378,Gilbert,2,2378,2.449489742783178,3884701248,0.0,1995.0,RL,Y,1995,6,0,13447314152,30,9.24619002486988,10364,Normal,5654884,8,7.774435510302958,3991,1.4142135623730951,1401168159.0,1.0,1.0986122886681098,3,39.64845520319802,6.693323668269949,1,PConc,1.7320508075688772,3.0,27,3.0,1572,1119.0,2.0794415416798357,806,7.599401333415815,2,2,9,1.5811388300841898,0.6931471805599453,6.642486801367256,1,39.64845520319802,3.713572066704308,2471184,373.0,1996,1.0,WD,1Fam,7,4,1,2,766,1.4142135623730951,,,1,2,373,1.0,1,4,3.0,4,2471184,806,3,36,40,3,1252161.0,3884701248,3.0,0,1.0,1.0,33.45145736735546,1.0,9,6.693323668269949,3,15.625,1,5,27,2,2.0,48.76474136094644,4.0,2007,0.0,6.25,0.0,1,0.0,5.924255797414532,0.0,BuiltIn,6.693323668269949,1.7320508075688772,2.5,3,8,4,1572,806,0,7.360739903058278,9.0,0.6931471805599453,0.0,9,8,4,1,12.031725210748633
405,2736,Unf,4,198,Feedr,64,2901,Sawyer,2,2901,2.0,4251528000,0.0,1993.0,RL,Y,1976,4,1116,24414238701,16,9.209540051805414,9991,Normal,8415801,7,7.973155433444133,3969,1.4142135623730951,3176523000.0,1.0,1.0986122886681098,3,40.24922359499622,7.390798521735676,0,CBlock,1.7320508075688772,3.0,27,3.0,1620,1470.0,2.1972245773362196,1281,7.597897950521784,2,2,9,1.7320508075688772,0.0,0.0,1,40.24922359499622,4.3694478524670215,2624400,490.0,1993,2.0,WD,1Fam,8,4,1,2,0,1.4142135623730951,,,1,2,490,1.0,1,5,3.0,4,2624400,165,3,16,78,3,2160900.0,4251528000,3.0,1,4.0,1.0,38.34057902536163,1.0,9,5.111987788356544,3,27.0,1,6,27,2,1.0,53.86093203798092,3.0,2009,7.018401799069201,9.0,0.0,1,0.0,6.19644412779452,4.795790545596741,Attchd,7.156176637480615,1.7320508075688772,3.0,3,8,3,1620,1620,0,7.390798521735676,9.0,0.6931471805599453,0.6931471805599453,9,8,4,1,11.918397239722838
406,1166,Unf,5,0,Norm,216,2703,SWISU,2,2230,2.449489742783178,1585242296,0.0,1936.0,RL,Y,1936,6,0,19748682927,30,9.257319373170178,10480,Normal,7306209,3,7.7102051944325325,3886,1.4142135623730951,373248000.0,,0.6931471805599453,3,34.14674215792775,7.062191632286556,0,BrkTil,1.7320508075688772,,27,3.0,1639,720.0,1.9459101490553132,1064,7.576097340623111,1,2,9,1.0,0.0,0.0,1,40.48456495999432,0.0,1359556,240.0,1950,1.0,WD,1Fam,6,4,1,2,0,1.0,51.0,3.9512437185814275,1,1,240,1.0,0,5,3.0,4,2686321,1064,3,36,0,4,518400.0,4402880119,,0,1.0,1.0,26.832815729997478,,9,6.970730078143525,3,1.0,0,3,27,2,1.0,51.99038372622383,3.0,2008,0.0,1.0,0.0,1,0.0,5.484796933490655,0.0,Detchd,6.970730078143525,1.7320508075688772,1.0,3,1,2,1166,1166,0,7.402451520818244,9.0,0.0,0.0,9,8,1,1,11.652696102959753
407,1680,Unf,7,160,Norm,216,2520,Crawfor,3,2520,2.449489742783178,4741632000,0.0,1960.0,RL,Y,1915,6,0,16003008000,42,9.653550746326605,15576,Normal,6350400,8,7.83241092718792,3891,1.4142135623730951,788889024.0,,0.6931471805599453,3,40.98780306383839,6.734591659972948,0,BrkTil,1.7320508075688772,,27,3.0,1680,924.0,2.1972245773362196,840,7.589335823170617,2,2,9,1.4142135623730951,0.0,6.734591659972948,1,40.98780306383839,0.0,2822400,308.0,1976,1.0,WD,1Fam,8,6,1,2,840,1.0,63.0,4.1588830833596715,1,1,308,1.0,0,5,3.0,4,2822400,840,3,36,0,4,853776.0,4741632000,,0,1.0,1.0,30.397368307141328,,9,6.734591659972948,4,8.0,0,3,27,2,2.0,50.19960159204453,4.0,2008,0.0,4.0,0.0,1,0.0,5.733341276897746,0.0,Attchd,6.734591659972948,1.7320508075688772,2.0,3,1,4,1680,840,0,7.427144133408616,9.0,0.0,0.0,9,8,1,1,12.083910661257521
408,2172,RFn,5,254,Norm,343,3235,NridgHt,2,3235,2.6457513110645907,10246592448,0.0,2006.0,RL,Y,2006,7,0,33855002875,35,9.557823197546,14154,Partial,10465225,8,8.082093278178382,4012,1.7320508075688772,22930509321.0,2.0,1.3862943611198906,4,46.604720790924176,6.977281341630747,1,PConc,2.0,4.0,64,3.0,2172,2841.0,2.302585092994046,1063,7.604396348796338,2,3,12,1.5811388300841898,0.6931471805599453,7.004881989712859,2,46.604720790924176,4.143134726391533,4717584,947.0,2006,1.0,New,1Fam,9,6,2,2,1101,1.7320508075688772,109.0,4.700480365792417,2,3,947,1.0,1,5,3.0,9,4717584,1063,4,49,62,4,8071281.0,10246592448,4.0,0,1.0,1.0,53.301031884945715,2.0,16,6.96979066990159,3,15.625,1,8,64,2,2.0,56.87706040223949,5.0,2007,0.0,6.25,0.0,1,350.0,6.854354502255021,5.262690188904886,Attchd,6.96979066990159,2.0,2.5,4,27,4,2172,1071,0,7.6838639802564295,9.0,0.6931471805599453,0.0,16,27,9,2,12.54254845357358
409,2867,Fin,5,102,Norm,512,3112,Somerst,2,3112,2.8284271247461903,8972978552,0.0,2008.0,FV,Y,2007,8,789,30138300928,40,9.287394001418473,10800,Partial,9684544,8,8.043342170441608,4015,1.7320508075688772,15775480512.0,2.0,1.3862943611198906,5,45.58508528016593,6.957497370876951,1,PConc,2.23606797749979,4.0,125,3.0,2078,2508.0,2.1972245773362196,1034,7.605392364814935,2,3,12,1.8708286933869707,0.6931471805599453,6.9363427358340495,2,45.58508528016593,4.634728988229636,4318084,836.0,2008,2.0,New,1Fam,8,6,2,2,1028,1.7320508075688772,85.0,4.454347296253507,2,3,836,1.0,1,5,3.0,9,4318084,245,4,64,102,4,6290064.0,8972978552,4.0,1,6.0,1.0,50.07993610219566,2.0,25,5.5053315359323625,3,42.875,1,4,64,2,2.0,55.78530272392541,5.0,2008,6.672032945461067,12.25,0.0,1,100.0,6.729824070489475,0.0,Attchd,6.942156705699469,2.0,3.5,5,27,4,2078,1050,0,7.639642287858013,9.0,0.6931471805599453,0.6931471805599453,16,27,9,2,12.73596827534975
410,1276,Unf,3,0,Norm,125,2552,Edwards,1,2552,2.23606797749979,2077552576,0.0,1958.0,RL,Y,1958,5,0,16620420608,15,9.166597449028265,9571,Abnorml,6512704,5,7.845024417241484,3916,1.4142135623730951,1157625000.0,,0.6931471805599453,3,35.7211421989835,7.152268856032539,0,CBlock,1.7320508075688772,,27,3.0,1276,1050.0,1.791759469228055,1276,7.580189417944541,1,2,6,1.0,0.0,0.0,1,35.7211421989835,0.0,1628176,350.0,1958,1.0,COD,1Fam,5,2,1,2,0,1.0,68.0,4.23410650459726,1,1,350,1.0,0,3,3.0,4,1628176,1276,3,25,0,4,1102500.0,2077552576,,0,1.0,1.0,32.4037034920393,,9,7.152268856032539,3,1.0,0,6,27,1,1.0,50.51732376126036,3.0,2009,0.0,1.0,0.0,1,0.0,5.860786223465865,0.0,Attchd,7.152268856032539,1.7320508075688772,1.0,3,1,3,1276,1276,0,7.152268856032539,9.0,0.0,0.0,9,8,1,1,11.002116507732017
411,2112,Fin,5,264,Norm,125,2112,Gilbert,2,2112,2.23606797749979,1177583616,1.0,1955.0,RL,N,1955,5,1056,9420668928,25,10.453081864230466,34650,Normal,4460544,8,7.655864017616056,3910,1.4142135623730951,5053029696.0,,1.0986122886681098,3,32.49615361854384,6.963189985870238,0,CBlock,1.7320508075688772,,27,3.0,1056,1716.0,1.791759469228055,1056,7.578656850594762,1,2,9,1.4142135623730951,0.0,0.0,1,32.49615361854384,0.0,1115136,572.0,1955,1.0,WD,2fmCon,5,4,1,2,0,1.4142135623730951,100.0,4.61512051684126,1,2,572,1.0,0,3,3.0,4,1115136,0,3,25,0,4,2944656.0,1177583616,,1,3.0,1.0,41.42463035441596,,9,0.0,3,8.0,0,1,27,1,1.0,45.95650117230423,3.0,2006,6.963189985870238,4.0,0.0,1,0.0,6.35088571671474,5.579729825986222,Attchd,6.963189985870238,1.7320508075688772,2.0,3,8,4,1056,1056,0,6.963189985870238,9.0,0.0,0.6931471805599453,9,8,4,1,11.884495917930655
412,2056,Fin,5,144,Norm,343,2948,Somerst,2,2948,2.6457513110645907,3228667352,2.0,2009.0,FV,Y,2009,7,578,25620195392,35,8.390268497842571,4403,Partial,8690704,8,7.989221408815276,4018,1.7320508075688772,3061257408.0,2.0,1.0986122886681098,4,38.44476557348217,7.2991214627108,1,PConc,2.0,4.0,64,3.0,1478,1452.0,2.0794415416798357,1470,7.605890001053122,2,3,15,1.8708286933869707,0.6931471805599453,0.0,2,38.44476557348217,4.976733742420574,2184484,484.0,2009,2.0,New,1Fam,7,6,2,2,0,1.4142135623730951,,,2,2,484,1.0,1,5,3.0,9,2184484,892,5,49,144,2,2108304.0,3228667352,4.0,1,6.0,1.0,38.1051177665153,2.0,16,6.794586580876499,2,42.875,1,6,125,2,2.0,54.29548784199291,5.0,2010,6.361302477572996,12.25,0.0,1,432.0,6.184148890937483,0.0,Attchd,7.293697720601438,2.23606797749979,3.5,4,8,4,1478,1478,0,7.2991214627108,9.0,0.6931471805599453,0.6931471805599453,25,27,4,2,12.310437165348775
413,1028,Unf,6,130,Artery,125,2036,OldTown,2,2036,2.23606797749979,1086373952,0.0,1927.0,RM,Y,1927,5,0,8439822656,30,9.10063710688422,8960,Normal,4145296,8,7.619233416226805,3877,1.4142135623730951,1259712000.0,2.0,1.0986122886681098,3,32.0624390837628,6.9363427358340495,0,CBlock,1.7320508075688772,4.0,27,3.0,1028,1080.0,1.791759469228055,1008,7.576097340623111,1,2,9,1.0,0.0,0.0,1,32.0624390837628,0.0,1056784,360.0,1950,1.0,WD,1Fam,5,4,1,2,0,1.4142135623730951,56.0,4.04305126783455,1,2,360,1.0,1,4,3.0,4,1056784,1008,3,25,0,4,1166400.0,1086373952,4.0,0,1.0,1.0,32.863353450309965,2.0,9,6.9167150203536085,2,1.0,1,3,27,2,1.0,45.12205669071391,3.0,2010,0.0,1.0,0.0,1,0.0,5.8888779583328805,0.0,Detchd,6.9167150203536085,1.7320508075688772,1.0,3,8,4,1028,1028,0,6.9363427358340495,9.0,0.6931471805599453,0.0,9,8,4,1,11.652696102959753
414,2678,Unf,5,383,Norm,343,3177,SawyerW,2,3177,2.6457513110645907,9221366673,0.0,1993.0,RL,Y,1993,7,50,32066506233,35,9.326254996572539,11228,Normal,10093329,8,8.064007347096661,3986,1.7320508075688772,8414975304.0,1.0,1.3862943611198906,4,45.79301256742124,6.985641817639208,1,PConc,2.0,3.0,64,3.0,2097,2034.0,2.302585092994046,1080,7.597897950521784,2,3,12,1.7320508075688772,0.6931471805599453,6.925595197110468,2,45.79301256742124,5.236441962829949,4397409,678.0,1993,2.0,WD,1Fam,9,6,2,2,1017,1.7320508075688772,59.0,4.0943445622221,2,3,678,1.0,1,5,3.0,9,4397409,499,4,49,187,2,4137156.0,9221366673,3.0,0,4.0,1.0,45.09988913511872,1.0,16,6.214608098422191,3,27.0,1,12,64,2,2.0,56.36488268416781,4.0,2008,3.9318256327243257,9.0,0.0,1,0.0,6.520621127558696,5.2832037287379885,Attchd,6.985641817639208,2.0,3.0,4,27,4,2097,1080,0,7.6487397889562425,9.0,0.6931471805599453,0.0,16,27,9,2,12.337105293891872
415,1364,Fin,5,130,Norm,343,2680,Gilbert,2,2680,2.6457513110645907,2406104000,2.0,2007.0,RL,Y,2007,7,24,19248832000,35,9.093806555720231,8899,Partial,7182400,8,7.893945138235959,4014,1.7320508075688772,1676676672.0,,1.0986122886681098,4,36.60601043544625,7.201170883281678,0,PConc,2.0,,64,3.0,1340,1188.0,1.9459101490553132,1340,7.60489448081162,2,3,12,1.4142135623730951,0.0,0.0,2,36.60601043544625,3.4339872044851463,1795600,396.0,2007,2.0,New,1Fam,6,6,2,2,0,1.4142135623730951,73.0,4.30406509320417,2,2,396,1.0,0,5,3.0,9,1795600,1316,4,49,30,3,1411344.0,2406104000,,0,6.0,1.0,34.46737587922817,,16,7.183111701743281,3,8.0,0,8,64,2,2.0,51.76871642217914,4.0,2007,3.2188758248682006,4.0,0.0,1,0.0,5.983936280687191,4.61512051684126,Attchd,7.201170883281678,2.0,2.0,4,8,4,1340,1340,0,7.201170883281678,9.0,0.0,0.0,16,27,4,2,12.106997888588934
416,1609,Fin,7,0,Norm,216,2072,Sawyer,3,2072,2.449489742783178,2744000000,0.0,1978.0,RL,Y,1978,6,209,8895477248,42,8.967631665167133,7844,Normal,4293184,8,7.636752112435779,3956,1.4142135623730951,2299968000.0,1.0,1.0986122886681098,3,37.416573867739416,6.511745329644728,1,CBlock,1.7320508075688772,3.0,27,3.0,1400,1320.0,1.9459101490553132,672,7.590346945602565,1,2,9,1.224744871391589,0.6931471805599453,6.591673732008658,1,37.416573867739416,0.0,1960000,440.0,1978,2.0,WD,1Fam,6,6,1,2,728,1.4142135623730951,74.0,4.31748811353631,1,2,440,1.0,1,3,3.0,4,1960000,463,3,36,0,4,1742400.0,2744000000,3.0,0,5.0,1.0,36.3318042491699,1.0,9,6.139884552226255,3,3.375,1,3,27,1,1.0,45.51922670696417,3.0,2006,5.3471075307174685,2.25,0.0,1,203.0,6.089044875446846,0.0,Attchd,6.511745329644728,1.7320508075688772,1.5,3,8,4,1400,672,0,7.244941546337007,9.0,0.6931471805599453,0.0,9,8,4,1,11.915058360753719
417,3752,Unf,6,0,Feedr,216,3994,Crawfor,2,3994,2.449489742783178,18067226624,0.0,1918.0,RL,N,1918,6,1128,63712431784,36,10.017753298664472,22420,Normal,15952036,8,8.292798858200374,3868,1.4142135623730951,17414258688.0,2.0,1.3862943611198906,3,51.22499389946279,7.223295679562314,1,BrkTil,1.7320508075688772,4.0,27,3.0,2624,2592.0,2.3978952727983707,1370,7.576097340623111,2,2,9,1.8708286933869707,0.6931471805599453,7.134890851565884,1,51.22499389946279,0.0,6885376,864.0,1950,2.0,WD,1Fam,10,4,1,0,1254,1.7320508075688772,86.0,4.465908118654584,1,3,864,1.0,1,3,3.0,4,6885376,242,3,36,0,3,6718464.0,18067226624,4.0,1,4.0,1.0,50.91168824543142,2.0,9,5.493061443340548,4,42.875,1,11,27,1,2.0,63.198101237299845,4.0,2007,7.029087564149662,12.25,0.0,1,0.0,6.762729506931879,0.0,Detchd,7.223295679562314,1.7320508075688772,3.5,3,27,4,2624,1370,0,7.872836175025724,9.0,0.6931471805599453,0.6931471805599453,9,8,9,1,12.384223015005313
